Gene	Chr	ABRF-ILMN-RIBO-A-1	ABRF-ILMN-RIBO-A-2	ABRF-ILMN-RIBO-A-3	ABRF-ILMN-RIBO-A-4	ABRF-ILMN-RIBO-B-1	ABRF-ILMN-RIBO-B-2	ABRF-ILMN-RIBO-B-3	ABRF-ILMN-RIBO-B-4	ABRF-ILMN-RNA-A-1	ABRF-ILMN-RNA-A-2	ABRF-ILMN-RNA-A-3	ABRF-ILMN-RNA-A-4	ABRF-ILMN-RNA-B-1	ABRF-ILMN-RNA-B-2	ABRF-ILMN-RNA-B-3	ABRF-ILMN-RNA-B-4
SAT2	chr17	218	136	62	88	592	742	374	322	1318	1134	760	1260	2718	3015	3569	2078
SATB1	chr3	2341	1696	1466	2065	9570	11274	6777	6356	2626	3193	3104	3882	13200	11846	15661	13345
SATB2	chr2	1811	1274	1151	1542	4452	5287	3127	2928	1845	2570	2458	3060	4559	4307	5766	4709
SATL1	chrX	359	212	178	240	260	349	220	167	560	790	767	869	546	471	593	533
SAV1	chr14	2606	1981	1718	2508	1784	2217	1263	1262	3123	4045	3811	4642	3012	2530	3695	2988
SAYSD1	chr6	726	544	483	606	504	631	371	335	987	1026	1076	1363	787	763	986	789
SBDS	chr7	5599	3788	3366	4629	5719	7143	4178	3831	8831	11639	12179	13455	15043	13393	17771	15846
SBF1	chr22	112	97	55	26	485	848	382	290	1174	393	176	273	1446	2326	2378	970
SBF2	chr11	7530	4955	4346	5544	5732	6905	4219	3894	3630	4835	4425	5602	3797	3500	5026	3691
SBK1	chr16	94	52	42	38	270	398	201	188	695	548	327	456	1552	2104	2231	1294
SBK2	chr19	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
SBNO1	chr12	17380	11802	10293	13836	13836	16845	10114	9333	7823	9509	9554	11558	8430	7622	10476	8324
SBNO2	chr19	35	50	20	30	50	67	40	29	737	234	140	195	113	186	203	67
SBSN	chr19	2	0	2	0	2	2	0	2	4	0	4	2	0	2	4	1
SCAF1	chr19	63	45	26	32	178	268	124	96	1164	475	260	311	912	1229	1274	824
SCAF11	chr12	20106	13931	12909	18547	8534	9929	6278	5980	9965	12548	13140	15012	5772	4802	6535	5906
SCAF4	chr21	3323	2240	2047	2803	1587	2049	1112	1100	5418	6430	5689	6987	2471	2443	2971	2376
SCAF8	chr6	6863	4866	4173	5567	7144	8747	5213	4729	4712	6182	5495	6980	3476	3228	4481	3451
SCAI	chr9	2270	1518	1481	2021	2861	3562	2148	1961	601	794	978	983	549	409	750	819
SCAMP1	chr5	9634	6769	6728	10381	16361	19481	12517	11810	6463	9641	10246	11386	20578	18040	24201	21232
SCAMP2	chr15	347	249	138	157	230	361	178	120	2419	1888	1217	1789	800	843	975	579
SCAMP3	chr1	258	188	125	129	243	324	136	177	2575	1892	1173	1885	1064	1252	1511	933
SCAMP4	chr19	115	84	42	48	207	244	151	118	1165	612	355	608	759	1061	1215	656
SCAMP5	chr15	116	67	37	47	3813	5097	2509	2222	794	518	387	601	14965	18318	23130	13188
SCAND1	chr20	12	15	15	5	17	22	14	14	176	73	45	80	69	97	104	55
SCAP	chr3	342	255	138	120	728	964	420	387	1938	1081	580	911	1257	1802	1923	1069
SCAPER	chr15	3525	2308	1989	2874	5820	6737	3951	3631	1845	2146	2151	2553	4744	4312	5753	4495
SCARA3	chr8	266	235	134	108	625	774	436	375	1380	1030	597	892	1454	1858	2129	1176
SCARA5	chr8	27	14	5	6	63	64	28	44	22	48	55	42	143	114	158	112
SCARB1	chr12	919	750	446	560	475	666	320	303	4905	3310	2127	3218	1179	1360	1924	974
SCARB2	chr4	15111	10504	9846	13844	19648	22765	14042	13331	17640	23312	23617	27675	33063	30022	39418	34273
SCARF1	chr17	11	8	3	11	64	64	32	45	51	34	20	37	136	191	230	196
SCARF2	chr22	6	2	2	0	7	9	3	3	154	66	15	41	16	16	35	14
SCCPDH	chr1	4582	3219	2860	3615	3526	4175	2442	2339	6166	8065	7962	9181	6184	5623	7720	6262
SCD	chr10	69168	48578	38135	49392	43619	54112	31205	28772	126083	150134	135889	169738	100160	94732	127105	97329
SCD5	chr4	927	638	548	813	16265	20302	11842	11006	1360	1613	1454	1809	40303	36507	48808	40212
SCEL	chr13	10	21	0	14	47	58	21	24	16	4	18	12	42	41	47	67
SCFD1	chr14	9173	6460	6032	8468	3998	5006	3169	2785	7621	10155	10773	12531	5208	4410	6004	5063
SCFD2	chr4	999	691	538	592	734	916	581	510	1518	1627	1569	1862	1331	1257	1657	1254
SCG2	chr2	892	599	453	641	7833	9072	5716	5088	1242	1900	1626	2024	15630	14203	19605	15751
SCG3	chr15	1298	883	813	1185	12654	15309	9305	8572	1402	1960	1940	2345	27879	24809	33976	28002
SCG5	chr15	1034	756	520	755	7356	9053	5254	4749	1702	1870	1646	2281	20843	18781	25894	19058
SCGB1A1	chr11	0	0	1	0	0	0	0	0	0	0	0	0	3	5	1	4
SCGB1C1	chr11	2	0	0	0	0	3	3	0	0	0	0	0	3	2	3	4
SCGB1D1	chr11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCGB1D2	chr11	0	0	0	2	2	12	8	0	0	2	2	0	8	26	20	22
SCGB1D4	chr11	0	0	0	0	0	1	0	0	0	0	0	0	4	0	4	0
SCGB2A1	chr11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SCGB2A2	chr11	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
SCGB2B2	chr19	2	0	0	0	0	4	1	3	1	3	0	0	10	2	7	5
SCGB3A1	chr5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2
SCGB3A2	chr5	26	21	19	20	4	0	4	3	142	84	70	96	0	0	0	3
SCGN	chr6	27	16	16	19	676	795	551	473	60	89	66	73	1647	1582	2224	1559
SCHIP1	chr3	112	97	79	108	956	1120	750	603	38	80	69	85	851	733	1025	882
SCIMP	chr17	61	49	20	40	102	119	86	67	19	20	36	30	51	44	53	71
SCIN	chr7	110	60	58	82	592	733	350	327	140	133	156	201	617	596	746	562
SCLT1	chr4	3170	2260	2210	3034	3109	3944	2144	2180	1663	2299	2319	2544	785	673	922	880
SCLY	chr2	554	429	291	380	251	303	146	153	264	316	215	291	129	154	217	135
SCMH1	chr1	1243	850	769	902	909	1292	609	594	2277	2002	1496	2126	1424	1516	1770	1234
SCML1	chrX	3181	2344	2097	3437	874	1121	627	650	3376	4775	5042	5513	1999	1643	2204	2064
SCML2	chrX	2535	1732	1477	2306	251	292	169	166	2777	3906	3960	4393	290	255	350	278
SCML4	chr6	0	2	0	2	12	16	13	6	12	14	2	4	22	16	16	39
SCN10A	chr3	5	2	2	2	0	4	0	0	4	2	8	4	6	0	0	11
SCN11A	chr3	38	28	22	11	93	110	71	61	21	14	25	26	60	79	63	69
SCN1A	chr2	404	270	243	305	18281	21481	13063	12615	282	378	358	465	14715	12770	17459	14488
SCN1B	chr19	24	17	10	8	998	1328	713	522	170	90	50	78	4379	5328	6457	3462
SCN2A	chr2	209	134	107	175	54921	65778	40516	38076	124	159	158	229	44819	39226	53281	45624
SCN2B	chr11	22	2	4	4	4935	5995	3386	3013	32	8	4	10	11823	12297	16328	11338
SCN3A	chr2	1729	1135	1162	1418	7333	8873	5379	5144	971	1160	1353	1656	5921	5349	7367	6120
SCN3B	chr11	152	76	74	81	8361	10086	6002	5630	74	54	53	91	15315	14058	19631	15170
SCN4A	chr17	12	4	0	8	4	18	2	0	46	30	22	22	27	29	44	20
SCN4B	chr11	63	56	36	42	2815	3584	1959	1854	289	279	240	253	8159	8750	11473	7654
SCN5A	chr3	51	44	28	18	45	69	28	26	144	87	76	89	59	103	105	49
SCN7A	chr2	10	5	24	11	468	559	356	338	10	4	2	0	384	304	441	331
SCN8A	chr12	607	405	258	399	12109	15095	8863	8063	404	523	446	469	7220	6993	9522	6948
SCN9A	chr2	2104	1290	1241	1692	722	888	494	481	840	1308	1381	1579	420	399	515	438
SCNM1	chr1	420	308	182	210	304	383	199	193	1618	1335	1086	1518	947	910	1174	764
SCNN1A	chr12	183	133	72	71	8	12	14	15	815	630	521	629	50	18	41	32
SCNN1B	chr16	24	20	11	8	6	14	6	6	228	270	105	221	12	40	56	32
SCNN1D	chr1	24	6	8	4	50	54	26	25	119	48	24	38	140	230	225	127
SCNN1G	chr16	2	10	6	2	106	133	84	82	23	44	24	20	346	335	488	242
SCO1	chr17	2018	1497	1251	1655	868	957	629	557	2983	3559	3784	4164	1173	1068	1576	1125
SCO2	chr22	12	5	3	1	31	45	21	15	237	117	58	77	200	230	254	123
SCOC	chr4	6756	4997	4855	7830	10686	12561	7538	7546	7586	10646	11937	13512	24875	21128	28449	24518
SCP2	chr1	6181	4235	3766	5602	4028	5013	3068	2815	7906	10172	10554	12244	8566	7472	9532	8417
SCPEP1	chr17	1135	796	599	709	845	1008	546	596	2926	3225	2771	3524	2344	2087	3056	2141
SCRG1	chr4	176	120	109	176	2262	2835	1579	1542	29	20	7	20	5696	5084	7095	5622
SCRIB	chr8	82	86	64	12	100	196	63	48	1130	481	313	381	425	578	570	244
SCRN1	chr7	10821	7217	5995	7810	29650	36276	21087	19070	14004	16653	15516	19250	50314	47513	63967	48964
SCRN2	chr17	51	29	22	8	47	115	43	35	602	304	179	205	271	384	416	168
SCRN3	chr2	2051	1397	1351	1926	2456	3069	1871	1783	1884	2488	2684	3296	3866	3197	4594	4027
SCRT1	chr8	0	0	0	0	12	21	6	6	0	0	0	0	33	43	48	26
SCRT2	chr20	6	0	0	0	20	27	12	8	8	4	6	2	174	218	275	155
SCT	chr11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
SCTR	chr2	20	1	7	2	4	5	3	4	20	10	6	12	6	6	22	5
SCUBE1	chr22	13	6	11	2	6	12	8	8	34	10	6	10	8	20	16	16
SCUBE2	chr11	348	242	163	188	452	583	355	314	934	939	711	1045	513	528	659	526
SCUBE3	chr6	793	611	447	552	513	726	374	345	382	390	461	458	88	136	127	108
SCYL1	chr11	160	108	62	40	315	473	236	200	1499	737	375	708	1139	1637	1947	829
SCYL2	chr12	10687	7266	6939	10353	6516	7633	4669	4583	6990	9486	10122	11377	5825	5196	7010	6271
SCYL3	chr1	912	641	470	658	698	728	448	487	815	1022	721	1010	744	681	989	699
SDAD1	chr4	5229	3801	3323	4471	3083	3748	2355	2173	4929	6491	6780	7959	4044	3860	4850	4295
SDC1	chr2	954	643	489	621	31	62	30	44	2868	2432	2014	2256	98	162	138	136
SDC2	chr8	7182	4890	4381	6527	2924	3307	2030	1863	9070	12214	13041	14927	5366	4997	6385	5561
SDC3	chr1	752	511	278	314	2243	2993	1591	1356	3503	2936	2039	2782	6310	7299	8934	5523
SDC4	chr20	4041	3010	2215	2669	2150	2681	1522	1410	8570	9056	8162	10352	3871	3953	5055	4025
SDCBP	chr8	16235	11018	10276	15614	7218	8620	5288	4887	27248	38143	39801	45705	18278	16074	21891	18585
SDCBP2	chr20	18	12	11	10	90	105	44	43	95	54	30	59	335	297	380	258
SDCCAG8	chr1	1833	1261	1085	1331	3411	4060	2410	2506	1357	1566	1694	2007	2155	2038	2480	2090
SDF2	chr17	651	446	317	412	560	695	399	354	2104	2134	1703	2263	1579	1710	2168	1480
SDF2L1	chr22	16	5	8	14	8	15	4	15	443	187	105	116	40	34	73	34
SDF4	chr1	200	194	110	69	303	449	216	159	3034	1231	707	1149	1250	1630	1850	938
SDHA	chr5	2350	1752	1209	1370	2383	3155	1747	1511	8563	7386	5048	7761	6020	7133	8835	5458
SDHAF1	chr19	96	76	32	22	224	199	107	128	472	402	344	365	654	773	898	525
SDHAF2	chr11	287	172	152	157	156	259	146	85	395	339	221	311	199	265	282	187
SDHB	chr1	2970	2030	1557	1929	2130	2539	1449	1388	5869	6769	5762	7458	5218	4801	6391	4343
SDHC	chr1	802	581	436	548	854	1043	585	566	4673	5728	4907	6217	2816	2646	3894	2864
SDHD	chr11	4555	3211	3401	5362	1580	1895	1157	1087	5939	8967	9831	11010	4248	3626	4859	4193
SDK1	chr7	257	153	126	91	153	223	126	82	635	403	356	469	155	198	204	178
SDK2	chr17	176	160	76	112	208	314	160	136	542	354	340	391	258	317	321	322
SDR16C5	chr8	35	24	16	33	331	374	218	239	37	77	49	63	650	562	884	688
SDR39U1	chr14	163	138	99	102	278	285	168	196	643	621	439	558	812	827	1066	654
SDR42E1	chr16	161	100	78	120	0	4	0	0	246	272	263	344	1	6	14	0
SDR42E2	chr16	2	0	0	0	0	7	8	1	0	2	0	0	0	0	8	0
SDR9C7	chr12	1	7	0	3	10	24	4	10	2	2	4	4	25	22	25	14
SDS	chr12	2	0	0	4	38	60	45	12	8	0	2	2	146	189	212	160
SDSL	chr12	7	3	1	2	18	8	12	6	146	49	20	26	59	73	66	24
SEBOX	chr17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC11A	chr15	7659	5315	4440	5521	1222	1538	908	806	13111	16358	15808	19055	2475	2317	3065	2565
SEC11C	chr18	2345	1793	1583	2236	1928	2179	1336	1344	4452	5513	5488	6454	5466	4926	6592	5363
SEC13	chr3	1936	1459	1018	1150	789	898	476	441	6511	5378	4472	5727	1960	2360	2992	1861
SEC14L1	chr17	2569	1741	1317	1606	4412	5568	3391	2878	4984	5229	4829	5880	10364	9699	12709	9847
SEC14L2	chr22	229	161	115	82	520	773	405	302	413	345	206	319	1257	1519	1887	1157
SEC14L3	chr22	0	0	0	2	0	4	0	0	0	2	1	0	0	0	0	3
SEC14L4	chr22	2	6	0	1	6	1	10	0	43	22	13	16	2	9	4	1
SEC14L5	chr16	14	18	16	22	1792	2254	1316	1126	66	34	44	82	4196	4450	5911	3795
SEC14L6	chr22	8	1	0	1	30	43	11	23	18	14	10	14	45	62	102	77
SEC16A	chr9	2212	1791	1219	1267	2330	2917	1539	1288	5762	4945	4111	5360	4318	4632	5680	3790
SEC16B	chr1	228	204	120	145	311	388	264	215	284	392	290	432	678	648	828	612
SEC22A	chr3	1020	628	555	846	1083	1293	755	734	1171	1340	1338	1627	1207	1058	1379	1147
SEC22B	chr1	7496	5093	4432	6353	4138	4990	2997	2872	7454	10481	10694	12488	6006	5160	6737	6164
SEC22C	chr3	3777	2636	2231	3047	3706	4474	2582	2437	4319	5272	4792	6087	5960	5433	7698	5854
SEC23A	chr14	20365	13954	12622	18532	7925	9281	5824	5259	16402	21408	22142	25774	9101	8285	10655	9299
SEC23B	chr20	3965	2725	2001	2774	2405	3091	1818	1553	6711	7976	6512	8954	3885	3746	5229	3792
SEC23IP	chr10	4924	3492	2902	4201	2479	2797	1759	1673	5323	7047	7143	8281	2933	2592	3457	2995
SEC24A	chr5	8615	5938	5797	8443	2825	3335	1878	2004	6248	8817	9333	10006	2769	2323	3514	2542
SEC24B	chr4	5515	3814	3408	4492	5264	6076	4014	3461	4560	6323	6113	7466	5197	4567	6025	5089
SEC24C	chr10	2038	1511	913	731	2368	3193	1778	1542	7955	8317	5986	8090	6241	6923	9141	5696
SEC24D	chr4	4872	3531	3018	3953	1262	1451	930	823	5334	7459	6707	8430	1804	1511	2210	1769
SEC31A	chr4	13918	9744	7454	9859	6366	8126	4872	4246	15393	19596	18067	21762	9725	9406	12757	9810
SEC31B	chr10	425	340	211	168	913	1131	684	518	1676	1645	1019	1686	2877	3207	3932	2506
SEC61A1	chr3	6832	4737	3424	3558	2099	2806	1538	1388	15542	15518	12303	17444	4389	4424	5740	4152
SEC61A2	chr10	812	563	468	640	1916	2570	1577	1422	1255	1543	1292	1745	4327	4179	5433	4108
SEC61B	chr9	2049	1639	1492	1977	482	609	321	335	4796	5465	5499	6237	1651	1538	1997	1666
SEC61G	chr7	4799	3522	3279	4647	868	923	549	576	8792	10762	11981	13138	1945	1698	2156	1739
SEC62	chr3	11371	7926	7734	11752	20738	25230	15354	14406	11764	16094	16976	19289	29997	26333	34778	31358
SEC63	chr6	6377	4593	4409	6657	4571	5316	3318	3109	10594	13766	15073	16351	8631	7168	10675	8891
SECISBP2	chr9	6795	4657	4116	5691	3893	4834	2789	2629	5424	6203	6070	7181	5021	4630	5845	4777
SECISBP2L	chr15	8658	5974	5326	7406	27589	32729	20258	19119	4851	6443	7467	7976	31720	27098	36396	32293
SECTM1	chr17	52	30	42	24	2	18	0	0	238	151	123	116	22	44	36	31
SEH1L	chr18	5624	3729	3520	5176	2465	2976	1778	1748	6291	8874	8921	10136	5231	4918	6256	5429
SEL1L	chr14	15526	11125	9730	14230	13425	16089	9641	9125	11368	15805	16524	18281	15842	13619	18809	15732
SEL1L2	chr20	2	4	0	3	15	12	8	8	0	0	0	0	8	16	4	6
SEL1L3	chr4	2922	1946	1490	2022	5265	6354	3820	3378	3653	4367	3997	5082	6343	5851	7694	5961
SELE	chr1	11	11	6	12	61	64	46	39	22	8	17	10	92	100	97	97
SELENBP1	chr1	87	66	20	40	179	214	109	121	1090	658	389	595	548	763	827	390
SELL	chr1	85	60	69	66	385	445	275	217	161	196	224	229	697	707	848	625
SELP	chr1	6	4	2	0	46	52	37	14	4	0	8	4	32	24	39	44
SELPLG	chr12	53	37	20	22	74	133	49	38	549	386	196	349	162	210	319	160
SEMA3A	chr7	5756	3957	3408	5208	1390	1814	1065	1083	3043	4123	4803	5474	1276	1032	1492	1236
SEMA3B	chr3	105	69	63	38	291	507	189	187	1381	674	329	527	1072	1509	1699	777
SEMA3C	chr7	15042	10511	9350	14404	2186	2403	1616	1471	8400	11389	12534	14318	2323	2067	2649	2609
SEMA3D	chr7	513	371	379	518	700	912	549	515	304	434	425	467	506	509	644	654
SEMA3E	chr7	150	133	90	106	1836	2257	1339	1229	86	133	138	164	1168	1107	1417	1295
SEMA3F	chr3	42	31	15	6	42	66	26	34	595	223	108	202	137	205	212	97
SEMA3G	chr3	126	93	48	82	419	464	295	310	450	356	364	408	1311	1474	1661	1250
SEMA4A	chr1	95	68	41	44	289	368	150	144	290	235	148	206	772	803	972	645
SEMA4B	chr15	224	175	118	110	333	364	162	147	1318	757	570	791	791	1064	1022	671
SEMA4C	chr2	296	256	148	136	437	676	330	271	2040	1205	768	1155	1420	1860	2159	1029
SEMA4D	chr9	995	674	597	805	3631	4653	2472	2222	1978	2032	1568	2045	6891	7732	9507	6242
SEMA4F	chr2	287	259	113	147	720	934	477	414	1155	907	778	1110	1317	1527	1805	1364
SEMA4G	chr10	166	138	70	67	264	357	221	174	1208	815	518	890	859	1047	1250	686
SEMA5A	chr5	9554	6576	6005	8362	2791	3575	2070	1957	6591	8421	8503	9488	3050	2793	3692	2936
SEMA5B	chr3	11	22	0	10	108	138	63	41	154	68	46	99	296	343	448	259
SEMA6A	chr5	4286	3044	2152	3170	4355	5519	3303	2936	4824	5285	4939	6214	7312	6936	9095	6901
SEMA6B	chr19	34	31	14	14	274	392	152	142	493	184	104	168	807	1116	1279	576
SEMA6C	chr1	24	15	22	18	329	497	241	206	243	136	102	129	969	1141	1454	716
SEMA6D	chr15	2352	1620	1471	1976	5298	6643	3905	3467	1412	1857	1973	2293	6356	5815	7598	6367
SEMA7A	chr15	123	109	68	47	899	1194	556	538	820	448	327	450	2764	3443	4025	2304
SEMG1	chr20	10	6	8	16	0	2	2	0	8	4	24	28	0	4	0	4
SEMG2	chr20	0	0	0	1	4	2	0	0	2	0	0	0	0	0	8	0
SENP1	chr12	4700	3011	2636	3601	1485	1638	1046	959	3868	5026	5272	6165	1250	1130	1631	1230
SENP2	chr3	4581	3082	2687	3526	4668	5925	3476	3286	5330	6780	6589	8201	6951	6595	8451	6997
SENP3	chr17	662	499	387	424	783	1022	557	463	3180	2695	1773	2767	2191	2681	3196	2039
SENP5	chr3	7943	5464	4531	5669	6917	8115	4894	4496	4738	5587	5531	6529	5419	4874	6876	5136
SENP6	chr6	13893	9593	9252	13403	19233	22208	13897	13193	8842	12377	13536	14806	9999	8846	11715	9959
SENP7	chr3	4901	3464	3311	4928	5116	5612	3672	3502	2598	3945	4064	4643	4739	3778	5862	4823
SENP8	chr15	260	174	150	133	275	352	218	192	312	321	286	400	248	235	351	290
SEPHS1	chr10	3324	2263	1986	2503	1312	1775	1042	875	6895	8158	7319	8894	3177	3143	3917	3316
SEPHS2	chr16	1129	810	726	975	554	745	345	375	8134	9489	8486	10704	3627	3377	4526	3527
SEPSECS	chr4	2915	2094	1962	2836	1240	1542	914	881	2159	3240	3294	3710	1372	1203	1676	1514
SERAC1	chr6	1135	823	762	981	1514	1946	1027	1109	1010	1426	1478	1710	2090	1825	2647	2103
SERBP1	chr1	33340	23315	21932	33398	7436	8628	5310	5167	41061	52415	56516	63422	12963	11614	15304	13113
SERF1A	chr5	5	5	0	1	5	12	6	6	6	11	7	1	7	12	13	5
SERF1B	chr5	19	12	6	9	22	53	16	26	31	37	25	32	75	70	106	71
SERF2	chr15	708	508	331	384	640	907	427	381	6134	3368	1930	3160	2157	2540	3083	1734
SERGEF	chr11	485	362	231	277	1391	1818	1063	788	861	915	773	1054	1990	1809	2611	1865
SERHL2	chr22	36	34	30	17	47	58	34	34	103	64	49	90	56	117	133	82
SERINC1	chr6	14357	10287	9399	13818	64280	74949	45899	44149	13422	18246	19159	22034	100121	87714	119648	100635
SERINC2	chr1	31	25	8	3	1	8	6	0	501	269	62	166	2	20	5	2
SERINC3	chr20	14650	10091	9093	12923	16966	19672	11805	11510	14230	17917	18623	21305	27058	24424	32571	27676
SERINC5	chr5	1665	1252	955	1118	889	1198	727	550	774	901	635	872	574	473	687	484
SERP1	chr3	16408	11692	11303	17674	6063	7144	4213	4208	18604	25268	26721	30115	10541	8822	12207	10361
SERP2	chr13	10	2	7	10	507	505	278	264	52	69	42	46	1811	1933	2395	1350
SERPINA1	chr14	8872	6198	3992	4092	312	383	250	196	44137	41546	31855	44174	741	762	877	957
SERPINA10	chr14	155	109	114	125	48	43	24	34	273	307	283	306	11	23	31	31
SERPINA11	chr14	261	205	116	107	4	0	0	0	1187	1088	800	1134	2	2	0	10
SERPINA12	chr14	94	73	38	60	0	0	0	0	135	196	160	179	6	0	0	0
SERPINA3	chr14	1269	924	571	575	3982	5135	2642	2249	6083	5541	3590	5626	10411	11555	14790	9373
SERPINA4	chr14	61	68	38	21	0	0	0	2	360	251	184	254	0	0	0	2
SERPINA5	chr14	1495	991	601	679	31	45	28	24	5001	5019	4264	5423	113	120	129	133
SERPINA6	chr14	171	131	73	56	0	0	4	0	1008	885	537	869	0	0	0	10
SERPINA7	chrX	1240	778	619	702	4	2	0	0	2091	2848	2505	3125	4	2	0	30
SERPINA9	chr14	0	0	2	0	0	0	0	0	2	5	4	1	0	0	0	0
SERPINB1	chr6	2609	1743	1440	1879	746	985	533	544	4452	5424	5276	6232	1405	1544	1842	1527
SERPINB10	chr18	5	0	8	4	0	1	2	0	10	8	4	6	0	0	0	0
SERPINB11	chr18	0	0	0	0	1	1	0	0	0	2	0	0	2	6	0	0
SERPINB12	chr18	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0
SERPINB13	chr18	6	0	2	2	0	0	0	2	0	0	0	0	8	2	4	0
SERPINB2	chr18	1606	1178	1073	1605	0	0	6	6	2900	3651	3979	4313	8	11	14	43
SERPINB3	chr18	83	35	35	70	0	0	0	0	50	62	98	96	0	0	0	1
SERPINB4	chr18	39	32	22	33	2	0	0	0	38	40	67	80	0	0	0	0
SERPINB5	chr18	629	458	420	545	2	1	0	0	883	1131	1161	1257	0	6	8	14
SERPINB6	chr6	2594	1835	1345	1654	1292	1503	902	797	7870	8413	7191	9067	3465	3497	4382	3489
SERPINB7	chr18	58	61	55	32	0	2	0	0	70	128	122	150	0	4	0	0
SERPINB8	chr18	563	342	288	468	180	307	179	142	872	1106	1137	1417	519	496	587	548
SERPINB9	chr6	3912	2809	2447	3639	1414	1697	969	849	4444	5910	5455	6717	1938	1648	2162	1946
SERPINC1	chr1	174	123	70	55	5	4	1	5	648	708	445	758	16	18	11	15
SERPIND1	chr22	1535	1030	622	646	178	198	131	117	5005	5695	4445	6252	102	142	128	144
SERPINE1	chr7	3356	2544	1770	2024	50	87	33	29	13616	11512	8972	12301	190	167	192	220
SERPINE2	chr2	35016	24160	20895	29036	5367	6478	3726	3480	57124	74602	74626	87626	12885	11723	15671	12924
SERPINE3	chr13	405	315	247	377	234	313	188	153	230	248	315	304	170	164	255	212
SERPINF1	chr17	651	550	272	251	459	618	357	282	5028	3877	2520	3849	1420	1711	2122	1390
SERPINF2	chr17	167	141	93	55	8	4	6	0	2180	1289	670	1101	20	41	18	35
SERPING1	chr11	112	71	71	49	689	856	517	414	640	528	438	642	2354	2633	3327	2169
SERPINH1	chr11	244	197	118	67	73	77	46	56	2903	1706	737	1503	114	201	184	117
SERPINI1	chr3	466	390	301	479	12925	15078	9006	8681	711	917	904	1037	28694	24193	34589	28300
SERPINI2	chr3	6	8	7	14	153	193	177	117	4	2	0	9	106	102	141	152
SERTAD1	chr19	47	47	16	14	36	46	28	26	238	154	71	134	130	124	188	88
SERTAD2	chr2	4024	2780	2500	3338	1314	1614	911	890	4584	6092	5978	7178	2306	2060	3012	2252
SERTAD3	chr19	315	214	149	166	115	159	82	70	875	890	575	848	290	255	331	201
SERTAD4	chr1	983	607	532	715	890	992	631	620	1080	1285	1331	1590	1201	1129	1545	1413
SERTM1	chr13	2	8	18	12	1148	1252	840	743	24	28	20	32	1576	1408	2146	1573
SESN1	chr6	2130	1471	1338	1936	5787	6971	4277	4014	2055	2892	3048	3347	9784	8276	11424	9202
SESN2	chr1	235	186	132	140	195	250	101	101	1179	934	544	1016	564	755	877	441
SESN3	chr11	9233	6447	6342	9876	23421	27846	16929	16592	4291	6351	6629	7177	17448	15121	20504	18862
SESTD1	chr2	9672	6308	5967	8545	11456	13693	8305	8072	7621	10023	10578	11876	11179	9994	13468	11540
SET	chr9	41024	28155	24262	32865	9859	12062	7497	6875	46080	61419	61858	73527	17745	15586	21312	18119
SETBP1	chr18	1490	1028	811	1207	3328	4427	2534	2294	1070	1299	1353	1628	3069	2754	3869	3073
SETD1A	chr16	219	163	73	109	219	327	138	107	1664	952	502	825	683	818	1132	571
SETD1B	chr12	630	475	361	481	573	755	359	351	1936	1839	1663	1931	1697	1705	2218	1398
SETD2	chr3	13963	9595	8072	11273	14579	17518	10333	9649	7817	9152	9022	11009	7982	7627	10232	8323
SETD3	chr14	3906	2832	2295	2788	5441	6899	3809	3618	4845	5847	4916	6424	6379	6006	8264	6386
SETD4	chr21	1258	964	772	998	827	1129	642	562	1475	1681	1434	2025	1353	1283	1633	1307
SETD5	chr3	12935	9034	6749	8265	8519	10063	6162	5389	13901	15899	14461	17885	11715	11429	15061	11416
SETD6	chr16	1472	1114	878	1319	1030	1216	788	723	1971	2620	2393	3127	1874	1595	2367	1822
SETD7	chr4	6887	5033	4460	6638	7588	9526	5608	5324	5119	6651	6943	7914	8938	8060	10956	9133
SETD9	chr5	621	352	339	539	211	169	110	150	582	822	769	1036	359	315	435	450
SETDB1	chr1	2664	1814	1209	1510	1704	1985	1116	960	3601	3674	3072	4069	1511	1526	2195	1650
SETDB2	chr13	2959	1983	1785	2614	2318	2651	1631	1671	2288	2943	3262	3527	2072	1719	2190	1803
SETMAR	chr3	725	497	409	525	626	918	525	473	852	1163	998	1180	905	819	1225	833
SETX	chr9	23378	15868	14272	19560	17964	21518	13107	12245	9013	11064	10815	12960	9072	8596	11573	9162
SEZ6	chr17	22	25	15	24	620	846	419	381	11	4	9	6	2309	2863	3403	1895
SEZ6L	chr22	196	116	100	202	9023	11304	6501	6055	266	404	396	438	17865	16728	22404	17960
SEZ6L2	chr16	137	130	63	86	1059	1481	611	583	1538	834	428	608	3425	5023	5480	2631
SF1	chr11	4007	2916	2019	2150	3719	4908	2600	2376	13655	13595	10764	14350	11864	11955	15396	10998
